model,metric,mean,std_population,std_sample,min,max
CBraMod,balanced_accuracy,0.6149236574147363,0.014760981788195583,0.016503279346520863,0.5914150355607001,0.6353746545231148
CBraMod,auprc,0.6845429658410689,0.013299978484069297,0.014869827994831776,0.6635212402067003,0.6986025338317703
CBraMod,auroc,0.674219690621183,0.023493953704246263,0.026267038771463816,0.6398714818725392,0.7030888501919277
EEGSimpleConv,balanced_accuracy,0.5270946828148215,0.025702543297182048,0.02873631700356532,0.4990792124216278,0.5680242716120028
EEGSimpleConv,auprc,0.5860970469944476,0.035586569754198855,0.03978699452821331,0.5521967275214117,0.6379333806414345
EEGSimpleConv,auroc,0.6111426189580577,0.03774805139536503,0.042203604469096004,0.5710259084063258,0.6590551615662683
