seed,cbramod_best_epoch,eegsimpleconv_best_epoch,cbramod_balanced_accuracy,eegsimpleconv_balanced_accuracy,cbramod_minus_eegsimpleconv_balanced_accuracy,cbramod_auprc,eegsimpleconv_auprc,cbramod_minus_eegsimpleconv_auprc,cbramod_auroc,eegsimpleconv_auroc,cbramod_minus_eegsimpleconv_auroc
3407,5,50,0.623281692738704,0.5068663304000779,0.11641536233862615,0.6983331807192161,0.6379333806414345,0.060399800077781673,0.6947643640683706,0.6547228124396368,0.040041551628733796
3408,26,37,0.5914150355607001,0.545018379442909,0.04639665611779109,0.6635212402067003,0.5535477639131172,0.10997347629358312,0.6398714818725392,0.5860173903950527,0.05385409147748643
3409,1,25,0.6353746545231148,0.4990792124216278,0.13629544210148703,0.6986025338317703,0.6191869409863375,0.07941559284543276,0.7030888501919277,0.6590551615662683,0.04403368862565937
3410,3,26,0.6164346059276062,0.5680242716120028,0.04841033431560349,0.6850900941550528,0.5676204219099369,0.11746967224511595,0.6769589610495236,0.5848918219830046,0.09206713906651898
3411,8,26,0.6081122983235566,0.5164852201974901,0.09162707812606652,0.6771677802926049,0.5521967275214117,0.12497105277119325,0.6564147959235543,0.5710259084063258,0.0853888875172285
