metric,mean,std_population,std_sample,min,max
balanced_accuracy,0.5270946828148215,0.025702543297182048,0.02873631700356532,0.4990792124216278,0.5680242716120028
auprc,0.5860970469944476,0.035586569754198855,0.03978699452821331,0.5521967275214117,0.6379333806414345
auroc,0.6111426189580577,0.03774805139536503,0.042203604469096004,0.5710259084063258,0.6590551615662683
