metric,ours_mean,ours_std_population,ours_std_sample,ours_min,ours_max,paper_mean,paper_std,mean_difference,relative_difference_percent
balanced_accuracy,0.6149236574147363,0.014760981788195583,0.016503279346520863,0.5914150355607001,0.6353746545231148,0.637,0.0151,-0.022076342585263697,-3.4656738752376293
auprc,0.6845429658410689,0.013299978484069297,0.014869827994831776,0.6635212402067003,0.6986025338317703,0.7139,0.0088,-0.029357034158931095,-4.1122053731518555
auroc,0.674219690621183,0.023493953704246263,0.026267038771463816,0.6398714818725392,0.7030888501919277,0.6988,0.0068,-0.024580309378816945,-3.5175027731564033
